;OBJECTID;LAND;BEZ;LOR;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
164;114101;11;4;4041239;2018;4;10;3;3;3;6;0;0;1;0;0;0;1;0;791954,2098;5823953,479;13,30065802;52,48743993
165;114102;11;4;4020311;2018;7;15;7;3;2;2;0;0;1;0;0;0;0;0;789803,5206;5826261,465;13,27108131;52,50927745
166;114103;11;6;6040701;2018;3;13;4;3;3;3;0;0;1;0;0;0;1;0;783572,0924;5816027,875;13,17081467;52,4207945
167;114104;11;3;3051017;2018;5;17;3;3;0;1;0;0;0;0;1;0;0;0;802727,4498;5832626,257;13,46673423;52,55930623
168;114105;11;5;5040935;2018;10;13;2;3;4;6;0;1;0;0;0;0;0;0;781461,3053;5824058,901;13,14662831;52,49389638
169;114106;11;4;4030417;2018;3;8;5;3;2;6;0;0;1;0;0;0;0;0;790805,2211;5826506,056;13,28601312;52,51093714
170;114107;11;2;2050602;2018;11;17;7;3;2;6;2;0;1;0;0;0;0;0;802703,3102;5827689,746;13,46188262;52,51507451
171;114108;11;1;1011104;2018;9;17;6;3;6;6;0;1;0;1;0;0;0;0;796184,2387;5825786,747;13,36440379;52,5015952
172;114109;11;3;3071639;2018;8;18;4;3;2;2;0;1;0;0;1;0;0;0;800552,5785;5829809,881;13,43220014;52,53526723
173;114110;11;7;7020203;2018;6;14;7;2;2;6;0;1;1;0;0;0;1;0;795941,4208;5824431,647;13,35963316;52,48957961
174;114111;11;8;8010510;2018;6;14;2;3;3;6;0;0;1;0;1;0;0;0;802662,3928;5822056,473;13,45616516;52,46460634
175;114112;11;1;1011102;2018;8;9;3;3;2;6;0;0;1;0;1;0;0;0;794460,6836;5827039,559;13,34019406;52,5137587
176;114113;11;11;11030721;2018;5;11;5;3;2;6;0;0;1;0;0;0;1;0;803711,3818;5827571,063;13,4765842;52,5134504
177;114114;11;3;3061126;2018;4;20;3;3;6;4;2;1;0;1;0;0;0;0;799220,7936;5831455,351;13,41410612;52,5507491
178;114115;11;3;3061131;2018;12;9;6;3;3;6;0;1;0;0;0;0;0;0;799188,5493;5831266,128;13,4134615;52,54907073
179;114116;11;2;2040703;2018;9;18;5;3;6;4;1;1;0;1;0;0;0;0;801866,412;5826500,71;13,44850875;52,50488094
180;114117;11;4;4020314;2018;9;14;6;2;2;6;0;0;1;0;0;0;0;0;790016,5952;5825105,146;13,27320485;52,49879762
181;114118;11;10;10040933;2018;7;16;5;3;0;2;0;1;1;0;0;0;0;0;812850,2596;5827180,95;13,610454;52,50479012
182;114119;11;2;2050602;2018;7;9;5;3;5;2;0;1;1;0;0;0;0;1;802145,2699;5827751,633;13,45374027;52,51593863
183;114120;11;7;7050502;2018;5;10;5;3;6;2;0;0;1;1;0;0;0;0;797836,1891;5818947,233;13,38256278;52,43938741
184;114121;11;7;7040406;2018;3;7;5;3;0;1;0;0;1;0;0;0;0;0;799701,3843;5821473,667;13,41218735;52,46101446
185;114122;11;3;3061434;2018;11;6;4;3;5;3;2;1;1;0;0;0;0;1;800844,3521;5830326,415;13,43695649;52,53973604
186;114123;11;10;10030726;2018;8;13;6;3;5;2;0;1;1;0;0;0;0;0;808950,3753;5827441,234;13,55342162;52,50934489
187;114124;11;7;7050506;2018;7;17;3;3;2;6;0;0;1;0;0;0;0;0;799084,1325;5816734,884;13,39888867;52,41887536
188;114125;11;3;3050925;2018;4;15;4;3;3;6;0;0;1;0;1;0;0;0;801559,3733;5831205,345;13,44826525;52,54721871
189;114126;11;7;7020203;2018;7;14;2;3;3;6;0;1;1;0;0;0;0;0;795582,8375;5823907,561;13,3539025;52,48507585
190;114127;11;3;3061434;2018;3;12;6;3;2;6;0;0;1;0;0;0;0;1;800940,2797;5829699,305;13,43779876;52,53406219
191;114128;11;4;4020314;2018;5;11;4;2;0;7;0;0;1;0;0;0;0;0;790558,6963;5825962,049;13,28191589;52,50619146
192;114129;11;11;11030721;2018;10;18;3;3;5;3;2;1;1;0;0;0;0;1;803759,4045;5827566,587;13,4772856;52,51338354
